state,year,Total Sightings
Australian Capital Territory,1981,1
Australian Capital Territory,1992,1
Australian Capital Territory,1995,1
Australian Capital Territory,2001,1
Australian Capital Territory,2002,2
Australian Capital Territory,2003,3
Australian Capital Territory,2004,1
Australian Capital Territory,2005,1
Australian Capital Territory,2006,2
Australian Capital Territory,2007,2
Australian Capital Territory,2008,1
Australian Capital Territory,2009,1
Australian Capital Territory,2013,1
New South Wales,1962,1
New South Wales,1967,1
New South Wales,1970,1
New South Wales,1972,2
New South Wales,1975,1
New South Wales,1976,2
New South Wales,1979,1
New South Wales,1983,1
New South Wales,1985,1
New South Wales,1986,1
New South Wales,1987,1
New South Wales,1988,2
New South Wales,1990,1
New South Wales,1991,2
New South Wales,1992,1
New South Wales,1993,1
New South Wales,1994,1
New South Wales,1996,2
New South Wales,1997,2
New South Wales,1998,4
New South Wales,1999,8
New South Wales,2000,10
New South Wales,2001,11
New South Wales,2002,15
New South Wales,2003,19
New South Wales,2004,10
New South Wales,2005,12
New South Wales,2006,8
New South Wales,2007,11
New South Wales,2008,3
New South Wales,2009,4
New South Wales,2010,6
New South Wales,2011,5
New South Wales,2012,4
New South Wales,2013,9
New South Wales,2014,1
Northern Territory,1996,1
Northern Territory,2000,2
Northern Territory,2002,1
Northern Territory,2004,1
Northern Territory,2006,2
Northern Territory,2010,1
Northern Territory,2011,1
Queensland,1968,1
Queensland,1974,1
Queensland,1980,2
Queensland,1982,2
Queensland,1983,2
Queensland,1986,1
Queensland,1990,1
Queensland,1993,1
Queensland,1996,1
Queensland,1997,1
Queensland,1998,3
Queensland,1999,3
Queensland,2000,2
Queensland,2001,10
Queensland,2002,5
Queensland,2003,9
Queensland,2004,9
Queensland,2005,11
Queensland,2006,12
Queensland,2007,3
Queensland,2008,3
Queensland,2009,3
Queensland,2010,4
Queensland,2011,1
Queensland,2012,4
Queensland,2013,6
Queensland,2014,2
South Australia,1976,2
South Australia,1977,1
South Australia,1978,1
South Australia,1995,1
South Australia,1996,1
South Australia,1997,1
South Australia,1998,3
South Australia,1999,4
South Australia,2001,4
South Australia,2002,9
South Australia,2003,6
South Australia,2004,5
South Australia,2005,4
South Australia,2006,4
South Australia,2007,2
South Australia,2008,2
South Australia,2009,2
South Australia,2010,2
South Australia,2013,1
South Australia,2014,3
Tasmania,1999,1
Tasmania,2001,2
Tasmania,2002,1
Tasmania,2004,2
Tasmania,2005,2
Tasmania,2009,1
Tasmania,2011,1
Tasmania,2012,1
Tasmania,2013,1
Victoria,1960,1
Victoria,1972,1
Victoria,1974,1
Victoria,1975,3
Victoria,1983,1
Victoria,1987,1
Victoria,1988,2
Victoria,1992,2
Victoria,1993,1
Victoria,1995,1
Victoria,1997,4
Victoria,1998,2
Victoria,1999,6
Victoria,2000,5
Victoria,2001,10
Victoria,2002,12
Victoria,2003,8
Victoria,2004,17
Victoria,2005,14
Victoria,2006,5
Victoria,2007,6
Victoria,2008,3
Victoria,2009,3
Victoria,2010,4
Victoria,2011,4
Victoria,2012,5
Victoria,2013,6
Victoria,2014,2
Western Australia,1974,1
Western Australia,1975,1
Western Australia,1978,1
Western Australia,1987,1
Western Australia,1990,1
Western Australia,1992,1
Western Australia,1996,2
Western Australia,1997,1
Western Australia,1998,3
Western Australia,1999,2
Western Australia,2000,4
Western Australia,2001,3
Western Australia,2002,5
Western Australia,2003,6
Western Australia,2004,5
Western Australia,2005,7
Western Australia,2006,5
Western Australia,2007,5
Western Australia,2008,5
Western Australia,2009,1
Western Australia,2011,1
Western Australia,2012,4
Western Australia,2013,11
Western Australia,2014,6
